# Lorenzo Manunza 14th April 2025

197128 atoms
1 atom types

-739.08340 739.08340 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

   594 1  373.230968 -85.91 0.00
   595 1  373.230968 -84.49 0.00
   596 1  374.460724 -83.78 0.00
   597 1  372.001212 -86.62 0.00
   598 1  370.771456 -85.91 0.00
   599 1  370.771456 -84.49 0.00
   600 1  372.001212 -83.78 0.00
   601 1  369.541700 -86.62 0.00
   602 1  368.311944 -85.91 0.00
   603 1  368.311944 -84.49 0.00
   604 1  369.541700 -83.78 0.00
   605 1  367.082188 -86.62 0.00
   606 1  365.852432 -85.91 0.00
   607 1  365.852432 -84.49 0.00
   608 1  367.082188 -83.78 0.00
   609 1  364.622676 -86.62 0.00
   610 1  363.392920 -85.91 0.00
   611 1  363.392920 -84.49 0.00
   612 1  364.622676 -83.78 0.00
   613 1  362.163164 -86.62 0.00
   614 1  360.933408 -85.91 0.00
   615 1  360.933408 -84.49 0.00
   616 1  362.163164 -83.78 0.00
   617 1  359.703651 -86.62 0.00
   618 1  358.473895 -85.91 0.00
   619 1  358.473895 -84.49 0.00
   620 1  359.703651 -83.78 0.00
   621 1  357.244139 -86.62 0.00
   622 1  356.014383 -85.91 0.00
   623 1  356.014383 -84.49 0.00
   624 1  357.244139 -83.78 0.00
   625 1  354.784627 -86.62 0.00
   626 1  353.554871 -85.91 0.00
   627 1  353.554871 -84.49 0.00
   628 1  354.784627 -83.78 0.00
   629 1  352.325115 -86.62 0.00
   630 1  351.095359 -85.91 0.00
   631 1  351.095359 -84.49 0.00
   632 1  352.325115 -83.78 0.00
   633 1  349.865603 -86.62 0.00
   634 1  348.635847 -85.91 0.00
   635 1  348.635847 -84.49 0.00
   636 1  349.865603 -83.78 0.00
   637 1  347.406091 -86.62 0.00
   638 1  346.176335 -85.91 0.00
   639 1  346.176335 -84.49 0.00
   640 1  347.406091 -83.78 0.00
   641 1  344.946579 -86.62 0.00
   642 1  343.716823 -85.91 0.00
   643 1  343.716823 -84.49 0.00
   644 1  344.946579 -83.78 0.00
   645 1  342.487066 -86.62 0.00
   646 1  341.257310 -85.91 0.00
   647 1  341.257310 -84.49 0.00
   648 1  342.487066 -83.78 0.00
   649 1  340.027554 -86.62 0.00
   650 1  338.797798 -85.91 0.00
   651 1  338.797798 -84.49 0.00
   652 1  340.027554 -83.78 0.00
   653 1  337.568042 -86.62 0.00
   654 1  336.338286 -85.91 0.00
   655 1  336.338286 -84.49 0.00
   656 1  337.568042 -83.78 0.00
   657 1  335.108530 -86.62 0.00
   658 1  333.878774 -85.91 0.00
   659 1  333.878774 -84.49 0.00
   660 1  335.108530 -83.78 0.00
   661 1  332.649018 -86.62 0.00
   662 1  331.419262 -85.91 0.00
   663 1  331.419262 -84.49 0.00
   664 1  332.649018 -83.78 0.00
   665 1  330.189506 -86.62 0.00
   666 1  328.959750 -85.91 0.00
   667 1  328.959750 -84.49 0.00
   668 1  330.189506 -83.78 0.00
   669 1  327.729994 -86.62 0.00
   670 1  326.500237 -85.91 0.00
   671 1  326.500237 -84.49 0.00
   672 1  327.729994 -83.78 0.00
   673 1  325.270481 -86.62 0.00
   674 1  324.040725 -85.91 0.00
   675 1  324.040725 -84.49 0.00
   676 1  325.270481 -83.78 0.00
   677 1  322.810969 -86.62 0.00
   678 1  321.581213 -85.91 0.00
   679 1  321.581213 -84.49 0.00
   680 1  322.810969 -83.78 0.00
   681 1  320.351457 -86.62 0.00
   682 1  319.121701 -85.91 0.00
   683 1  319.121701 -84.49 0.00
   684 1  320.351457 -83.78 0.00
   685 1  317.891945 -86.62 0.00
   686 1  316.662189 -85.91 0.00
   687 1  316.662189 -84.49 0.00
   688 1  317.891945 -83.78 0.00
   689 1  315.432433 -86.62 0.00
   690 1  314.202677 -85.91 0.00
   691 1  314.202677 -84.49 0.00
   692 1  315.432433 -83.78 0.00
   693 1  312.972921 -86.62 0.00
   694 1  311.743165 -85.91 0.00
   695 1  311.743165 -84.49 0.00
   696 1  312.972921 -83.78 0.00
   697 1  310.513409 -86.62 0.00
   698 1  309.283652 -85.91 0.00
   699 1  309.283652 -84.49 0.00
   700 1  310.513409 -83.78 0.00
   701 1  308.053896 -86.62 0.00
   702 1  306.824140 -85.91 0.00
   703 1  306.824140 -84.49 0.00
   704 1  308.053896 -83.78 0.00
   705 1  305.594384 -86.62 0.00
   706 1  304.364628 -85.91 0.00
   707 1  304.364628 -84.49 0.00
   708 1  305.594384 -83.78 0.00
