# Lorenzo Manunza 14th April 2025

157768 atoms
1 atom types

-591.51267 591.51267 xlo xhi
-87.33000 87.33000 ylo yhi
-5000.00000 5003.35000 zlo zhi

Masses

1 12.011 # C

Atoms

   433 1  325.270481 -86.62 0.00
   434 1  324.040725 -85.91 0.00
   435 1  324.040725 -84.49 0.00
   436 1  325.270481 -83.78 0.00
   437 1  322.810969 -86.62 0.00
   438 1  321.581213 -85.91 0.00
   439 1  321.581213 -84.49 0.00
   440 1  322.810969 -83.78 0.00
   441 1  320.351457 -86.62 0.00
   442 1  319.121701 -85.91 0.00
   443 1  319.121701 -84.49 0.00
   444 1  320.351457 -83.78 0.00
   445 1  317.891945 -86.62 0.00
   446 1  316.662189 -85.91 0.00
   447 1  316.662189 -84.49 0.00
   448 1  317.891945 -83.78 0.00
   449 1  315.432433 -86.62 0.00
   450 1  314.202677 -85.91 0.00
   451 1  314.202677 -84.49 0.00
   452 1  315.432433 -83.78 0.00
   453 1  312.972921 -86.62 0.00
   454 1  311.743165 -85.91 0.00
   455 1  311.743165 -84.49 0.00
   456 1  312.972921 -83.78 0.00
   457 1  310.513409 -86.62 0.00
   458 1  309.283652 -85.91 0.00
   459 1  309.283652 -84.49 0.00
   460 1  310.513409 -83.78 0.00
   461 1  308.053896 -86.62 0.00
   462 1  306.824140 -85.91 0.00
   463 1  306.824140 -84.49 0.00
   464 1  308.053896 -83.78 0.00
   465 1  305.594384 -86.62 0.00
   466 1  304.364628 -85.91 0.00
   467 1  304.364628 -84.49 0.00
   468 1  305.594384 -83.78 0.00
   469 1  303.134872 -86.62 0.00
   470 1  301.905116 -85.91 0.00
   471 1  301.905116 -84.49 0.00
   472 1  303.134872 -83.78 0.00
   473 1  300.675360 -86.62 0.00
   474 1  299.445604 -85.91 0.00
   475 1  299.445604 -84.49 0.00
   476 1  300.675360 -83.78 0.00
   477 1  298.215848 -86.62 0.00
   478 1  296.986092 -85.91 0.00
   479 1  296.986092 -84.49 0.00
   480 1  298.215848 -83.78 0.00
   481 1  295.756336 -86.62 0.00
   482 1  294.526580 -85.91 0.00
   483 1  294.526580 -84.49 0.00
   484 1  295.756336 -83.78 0.00
   485 1  293.296823 -86.62 0.00
   486 1  292.067067 -85.91 0.00
   487 1  292.067067 -84.49 0.00
   488 1  293.296823 -83.78 0.00
   489 1  290.837311 -86.62 0.00
   490 1  289.607555 -85.91 0.00
   491 1  289.607555 -84.49 0.00
   492 1  290.837311 -83.78 0.00
   493 1  288.377799 -86.62 0.00
   494 1  287.148043 -85.91 0.00
   495 1  287.148043 -84.49 0.00
   496 1  288.377799 -83.78 0.00
   497 1  285.918287 -86.62 0.00
   498 1  284.688531 -85.91 0.00
   499 1  284.688531 -84.49 0.00
   500 1  285.918287 -83.78 0.00
   501 1  283.458775 -86.62 0.00
   502 1  282.229019 -85.91 0.00
   503 1  282.229019 -84.49 0.00
